match_id,date,venue,batting_team,bowling_team,innings,over,striker,non_striker,bowler,Runs_scored,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,22-Mar-24,Chennai,RCB,CSK,1,18.4,Anuj Rawat,Karthik,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.5,Karthik,Anuj Rawat,Mustafizur,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.6,Karthik,Anuj Rawat,Mustafizur,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.6,Karthik,Anuj Rawat,Mustafizur,1,0,1,0,1,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.1,Karthik,Anuj Rawat,Tushar Deshpande,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.1,Karthik,Anuj Rawat,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.2,Karthik,Anuj Rawat,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.3,Karthik,Anuj Rawat,Tushar Deshpande,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.3,Karthik,Anuj Rawat,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.4,Anuj Rawat,Karthik,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.5,Anuj Rawat,Karthik,Tushar Deshpande,2,0,2,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.5,Karthik,Anuj Rawat,Tushar Deshpande,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,19.6,Karthik,Anuj Rawat,Tushar Deshpande,0,0,0,0,0,0,0,runout,Anuj Rawat,Dhoni
1,22-Mar-24,Chennai,CSK,RCB,2,0.1,Gaikwad,Ravindra,Siraj,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,0.2,Gaikwad,Ravindra,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,0.3,Gaikwad,Ravindra,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,0.4,Gaikwad,Ravindra,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,0.5,Gaikwad,Ravindra,Siraj,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,0.6,Gaikwad,Ravindra,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.1,Ravindra,Gaikwad,Yash Dayal,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.2,Ravindra,Gaikwad,Yash Dayal,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.3,Gaikwad,Ravindra,Yash Dayal,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.4,Gaikwad,Ravindra,Yash Dayal,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.5,Gaikwad,Ravindra,Yash Dayal,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,1.6,Gaikwad,Ravindra,Yash Dayal,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.1,Ravindra,Gaikwad,Siraj,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.1,Ravindra,Gaikwad,Siraj,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.2,Ravindra,Gaikwad,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.3,Gaikwad,Ravindra,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.4,Ravindra,Gaikwad,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.5,Gaikwad,Ravindra,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,2.6,Ravindra,Gaikwad,Siraj,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.1,Gaikwad,Ravindra,Yash Dayal,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.2,Ravindra,Gaikwad,Yash Dayal,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.3,Ravindra,Gaikwad,Yash Dayal,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.4,Ravindra,Gaikwad,Yash Dayal,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.5,Gaikwad,Ravindra,Yash Dayal,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,3.6,Gaikwad,Ravindra,Yash Dayal,0,0,0,0,0,0,0,caught,Gaikwad,Green
1,22-Mar-24,Chennai,CSK,RCB,2,4.1,Ravindra,Rahane,Alzarri Joseph,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.2,Ravindra,Rahane,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.3,Rahane,Ravindra,Alzarri Joseph,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.4,Rahane,Ravindra,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.5,Ravindra,Rahane,Alzarri Joseph,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.5,Ravindra,Rahane,Alzarri Joseph,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,4.6,Ravindra,Rahane,Alzarri Joseph,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,5.1,Rahane,Ravindra,Yash Dayal,0,0,0,0,0,0,0,,,
